level,nodeCount,CCR,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
5,8,0.5000000000000000000000000,504,21.342,4.551,0.506,398,16.835,5.769,0.641,381,16.134,6.205,0.689,388,16.430,5.911,0.657
5,8,0.5000000000000000000000000,607,21.498,4.518,0.502,479,16.978,5.721,0.636,456,16.169,6.007,0.667,469,16.605,5.849,0.650
5,8,0.5000000000000000000000000,368,22.216,4.372,0.486,279,16.814,5.777,0.642,279,16.855,5.762,0.640,303,14.702,5.308,0.590
5,8,0.5000000000000000000000000,517,19.398,5.007,0.556,415,15.571,6.238,0.693,392,14.694,6.815,0.757,433,16.233,5.983,0.665
5,8,0.5000000000000000000000000,511,23.137,4.604,0.512,359,16.231,6.029,0.670,410,18.566,5.231,0.581,396,17.922,5.419,0.602
5,8,0.5000000000000000000000000,355,19.450,4.994,0.555,286,15.664,6.200,0.689,276,15.114,6.426,0.714,281,15.370,6.319,0.702
5,8,0.5000000000000000000000000,301,19.296,5.033,0.559,237,15.178,6.399,0.711,243,15.577,6.235,0.693,242,14.480,6.273,0.697
5,8,0.5000000000000000000000000,728,24.784,3.919,0.435,505,17.167,5.658,0.629,447,15.213,6.384,0.709,488,16.613,5.846,0.650
5,8,0.5000000000000000000000000,546,18.147,5.352,0.595,448,14.872,6.531,0.726,449,14.912,6.513,0.724,483,16.040,6.055,0.673
5,8,0.5000000000000000000000000,439,16.164,6.009,0.668,365,13.418,7.238,0.804,402,14.791,6.566,0.730,360,13.241,7.335,0.815
